tick,logical_t_s,hash,delta_ns
0,0.1,1ec15a5ab296e6bf,100000000.0
1,0.2,f25dd73674bf1c98,100000000.0
2,0.30000000000000004,6e96a67017eac5ee,100000000.0
3,0.4,f9a6899cc8fd595c,100000000.0
4,0.5,f638b523b1e7087f,100000000.0
5,0.6,530baf9edf8f903b,100000000.0
6,0.7,483d919950bf7b3d,100000000.0
7,0.7999999999999999,9178122654dc28a9,100000000.0
8,0.8999999999999999,20bf9ee01430a141,100000000.0
9,0.9999999999999999,7529dcb89fe98006,100000000.0
10,1.0999999999999999,b097ff7201b2aff4,100000000.0
11,1.2,818dc79c2daf4a11,100000000.0
12,1.3,4d50703e4dcd9d98,100000000.0
13,1.4000000000000001,8aa033ce2bd58283,100000000.0
